ID,Title,Institution,Members,Location,Coordinates,Issue Primary,Issue Secondary,Approach Primary,Approach Secondary,Youth Focused?,Quote
2322,"""Ananse Festival: Storytelling for Peace""",St. Olaf College,Lea Komba,District of Cacuaco,"-8.836820,13.234320",Cultural Preservation/Expression,Youth development,Art & Design,Documentary & Reporting,Yes,"The ANANSE Literary Festival promoted a narrative of peace through education and literature in
vulnerable communities of Luanda, Angola, by organizing a 3-day literature and culture festival. The Ananse project addressed critical issues such as the lack of education and basic literacy, the
decolonization of traditional Angolan and African knowledge transmission, and the failure to incorporate
creative and traditional methods into children's and youth education. The project empowered young
people from the provinces of Cunene, Benguela, Huila, and Huambo by providing them with intensive
training in oral storytelling, creative writing, cultural journalism, and audiovisual production. This initiative
culminated in a 3-day literature and culture festival. By doing so, it strengthened cultural preservation,
created new forms of educational inclusion, amplified marginalized discourse, expanded access to
knowledge, and improved dialogue between traditional Angolan communities.  The festival, which was freely accessible to young people and children, is part of the
second phase of this project, which took place over three days in 3 different spaces, among them: the
school complex on the outskirts of Luanda (Lar de Nazaré), a place with a high illiteracy rate, the BAI
Academy university and the peripheral arts center Horizonte Njinga Mbandi. The festival was attended by a total of 2000 people. In addition to the presentation of the projects of the young trainees, 12
discussion tables and 15 interactive cultural activities were held, always anchored in Angolan narratives
collected in trips and interviews with local communities.  ""The ANANSE Festival taught me that storytelling is also building peace. I have found that Angolan oral
literature can be a powerful tool to unite generations, create empathy and inspire social change."" The ANANSE Festival promoted an inclusive space that connected young people, educators and
communities around literature and storytelling. In the short term, it offered new tools to students and
cultural access to vulnerable communities. In the long run, it strengthens a network of educators and
young creators who can replicate the methodology."
2259,“Divine Footprints:” Using Musical Theatre to tell Sacred Stories,Grinnell College,Nicholas Lampietti,Jaipur,"26.919620,75.787810",Social Cohesion,,Art & Design,Dialogue,No,"This project leveraged theatre’s unique capacity as a peacebuilding tool by fusing the genre of
Broadway with folk and classical Indian performance traditions to tell the life story of Siddhartha Gautama,
the Buddha, in the form of an original musical. Convened through a series of workshops, artists and
scholars from across India collaborated to develop the piece while critically engaging questions of
religious violence and articulating possibilities for more harmonious coexistence in a South Asian context. Despite strong synergies between my skillset and the proposed project, bringing my vision to life
proved to be enormously challenging and rewarding. Early on, I encountered persistent obstacles in
building partnerships and managing logistics from the United States, even though I was collaborating
closely with a local partner. Given these difficulties, I chose to pivot from a single summer-long formal
workshop to multiple shorter, more flexible sessions that targeted specific elements of the theatrical
process. Narrowing the project’s thematic focus to Buddhism also proved beneficial, allowing me to better
align my existing knowledge with the content of the workshops while further deepening discussions on its
current social and political implications.  Just as the workshop model of theatre-making is shaped by conversations and
shared experiences of its participants, our understanding of peace emerges through ongoing reflection... peace is found in our willingness to
interrogate practices that sustain discrimination and oppression. Art, and particularly theatre, offers a
powerful vehicle through which to undertake this work and the story of the Buddha provides the perfect
backdrop."
2344,A Thousand Voices – Amplifying Afghan Youth Voices,Yale University,Zakira Bakhshi,Toronto,"43.706430,-79.398640",Cultural Preservation/Expression,Youth development,Skills Development,Art & Design,Yes,
2323,A World of Possibilities: Enhancing Mental Health and Leadership Skills for Girls in Pakistan,Swarthmore College,Mina Bakshi,Islamabad,"33.721480,73.043290",Health & Wellbeing,Youth development,Educational Enrichment,Art & Design,Yes,"This project addressed the lack of mental health support and leadership opportunities for young women in Pakistan through the Stories of Strength initiative. Using reading circles, journaling workshops, and mentorship from mental health professionals in collaboration with Ascend Pakistan, the program
promoted resilience, self-expression, and leadership development among participants. The project’s approach centered on building a strong, culturally aware team and fostering community
participation to ensure relevance and impact. I worked with mental health professionals who understand
Pakistan’s societal barriers and engaged local leaders, parents, teachers, and the girls themselves in
shaping the program. Together, we designed interactive workshops that integrated mental health
education with practical coping tools within a supportive environment that reduced stigma and
encouraged peer connection.  For me, peace is not just the absence of conflict but the presence of fairness, equality, and dignity for all.
It means creating conditions where all people, especially girls and women, can live free of fear, express
themselves fully, and pursue their dreams without barriers imposed by society. My project contributes to
peace by addressing the silent struggles of young women in Pakistan, particularly the stigma around
mental health and the lack of leadership opportunities. In the short term, the project created safe spaces
where girls could openly share their experiences, gain coping strategies, and feel connected to a
supportive community. To ensure long-term sustainability, we trained peer leaders and equipped them
with resources. We provided them with toolkits that included workshop outlines, reading materials, and
guidance on leading discussions. By empowering girls within the community to become leaders, the
project reduces dependency on external facilitators and builds local ownership. This approach not only
sustains the program but also creates a ripple effect, as peer leaders mentor future participants, expand
outreach, and adapt activities to evolving needs within their communities."
2315,Ability in Education,Savannah College of Art & Design,Bagul Mammedova,Bayramaly,"37.618520,62.167150",Youth development,"Education Quality, Equity & Access",Educational Enrichment,,Yes,"Our project addressed the lack of educational and career opportunities for students with physical
disabilities in rural Turkmenistan by equipping them with digital design and 3D modeling skills. Working in
partnership with American Space Mary, we provided hands-on training, tablets, and access to 3D printing
technology for 27 participants, fostering both technical knowledge and a supportive community. I initially set out to provide information and guidance on higher education pathways for youth with physical
disabilities in Turkmenistan. Our original plan focused on college preparation and scholarship guidance. However, systemic barriers
made this unrealistic and potentially discouraging for participants. In response, we shifted to teaching 3D
modeling and printing—an area that gave participants tangible skills, confidence, and career possibilities.
This adjustment kept us aligned with the project’s core goal of empowerment while respecting the lived
realities of our community. This project opened my eyes to the depth of systemic discrimination faced by people with disabilities
in my home country, but also showed me their incredible resilience and eagerness to learn when given
access to tools. It challenged me to think creatively about how to adapt when facing structural barriers,
and it inspired me to pursue design not only as a personal career path but also as a medium for
empowerment and social impact. “This project taught me that true empowerment isn't about giving people what we think they need, but
about listening to their realities and adapting to meet them with practical, tangible skills. It was a powerful
lesson in resilience and the transformative potential of a supportive community. By shifting our focus from
college preparation to tangible skills like 3D modeling, we learned to meet people where they are, giving
them the tools and confidence to build their own path forward.”"
,,,Deekshita Thirumalainambi,,,,,,,,
2305,AccessEd,Oberlin College,Aisha Muradi,Afghanistan,"33.000000,65.000000","Education Quality, Equity & Access",,Technology Innovation & Tools,,Yes,"AccessEd created an online platform connecting Afghan girls with curated educational resources,
scholarship guidance, and mentorship opportunities. The project used a combination of a responsive
website, a 24/7 AI-powered chatbot, and anonymized mentorship sessions to provide safe and
continuous access to information for those barred from traditional schooling.
AccessEd was created in response to the shared reality of many Afghan girls whose education has been
severely restricted. Their stories and challenges informed every step of this project’s design, making it a
collective effort to build solutions for those who face systemic barriers.
In partnership with the nonprofit Applied Ethics, we developed an approach centered on privacy, ethical
storytelling, and building trust with participants. Each participant was given an anonymous nickname,
creating a safe space to engage freely. We hosted weekly workshops and meetings that introduced
participants to scholarship research, study skills, and digital literacy. Because participants came from
different educational backgrounds, I provided tailored resources and materials to help them stay engaged
and up to speed.  I define peace as the creation of conditions where individuals can thrive without fear, exclusion, or
systemic barriers. Peace is not simply the absence of conflict, it is the presence of opportunity, dignity,
and a sense of belonging.This project has profoundly changed how I think about technology and social impact. It showed me that building tools for vulnerable communities is not just a technical challenge, it is an ethical responsibility. I am leaving this experience with a deeper commitment to designing technology that protects users, builds
trust, and contributes to lasting change. More than anything, AccessEd has inspired me to continue
developing solutions that are not only innovative but also sustainable and just."
2231,Advancing Breast Cancer Care in Bangladesh,Carleton College,Narjis Nusaibah ,Bangladesh,"24.000000,90.000000",Health & Wellbeing,,Outreach & Information Campaigns,,No,
2265,Advancing Environmental Justice through an Intergenerational Citizen Science Project,International House,Anando Ghosh,Bahia,"-12.975630,-38.490960",Environment & Climate,Ag & Food Security,Preservation,Coalition & Community-Building,Yes,"This project aimed to counter environmental inequity and promote planetary citizenship through intergenerational collaboration in the Praia Grande Quilombola community on Ilha de Maré, in the Bay of Todos os Santos, Brazil. By pairing young people with elders to co-create a recipe book and podcast, the project documented unique food traditions threatened by industrial expansion and environmental degradation, while advocating for the environmental, health, and cultural rights of traditional communities that continue to live in harmony with nature. My definition of peace has been inspired by the Indigenous Latin American philosophy of sumak kawsay or buen vivir (“good living”), which emphasizes harmony not only among human beings but also between humans and the natural world. Peace, in this sense, extends beyond the mere absence of conflict— it encompasses relational, ecological, and social balance, where communities and individuals can thrive together while respecting the environment. This project contributed to peace on multiple levels. In the short term, it created safe, collaborative spaces for dialogue and learning across generations. By pairing young people with elders through a mentor-apprenticeship model, participants developed mutual trust, strengthened social bonds, and reinforced respect for traditional knowledge. In the long term, the project seeks to preserve cultural heritage and environmental wisdom, empowering the community to assert their rights, sustain their food practices, and resist ecological injustice. By documenting and celebrating traditional food knowledge, the project promotes environmental stewardship and a sense of collective agency— foundations for lasting peace and resilience."
2290,AI Strengthening Healthcare Access (AISHA),Lehigh University,Juliana Magarelli,Makeni,"8.886050,-12.044170",Health & Wellbeing,,Technology Innovation & Tools,,No,"We chose to address the lack of accessible, context-specific healthcare education for healthcare
workers in Sierra Leone. Limited access to training contributes to preventable deaths, high maternal and infant mortality, and weak systems for professional development. During earlier exploration, clinicians voiced frustration about gaps in knowledge and strong interest in more continuous, practical education. AISHA was designed to close this gap by combining trusted medical content with voice-powered conversational technology. AISHA delivers AI-powered voice devices to expand access to medical knowledge for healthcare workers in low-resource, connectivity-limited settings. These devices provide real-time answers, learning tools, quizzes, and patient simulations to strengthen decision-making and improve care delivery. Offline, interactive, and bilingual in English and Krio (in beta), it creates opportunities for active learning, especially for workers with limited literacy. In contrast to one-off trainings or static posters, AISHA provides ongoing, adaptable support that aligns with how people learn on the job.To us, peace is rooted in the commitment to uphold human rights, especially the right to health.
We encountered a significant conflict when faced with the decision to abandon Alexa and start over with custom devices. Months of work had gone into the Alexa version, but it could not function offline. Restarting from scratch was a difficult decision, but by prioritizing user realities, we demonstrated grit and adaptability. The result was a device ready in time for pilots, with enthusiastic uptake by clinicians. True peace is not just the absence of conflict but the presence of systems that ensure dignity, equity, and opportunity. Access to healthcare is a cornerstone of human well-being, and without it, the foundation of lasting peace is fragile.
"
,,,Vrushti Patel,,,,,,,,
,,,Natalie Kam,,,,,,,,
,,,Simone Karani,,,,,,,,
,,,"Gabriela Quinteros,",,,,,,,,
,,,Maisy Earl,,,,,,,,
,,,Malayna Leopold,,,,,,,,
,,,Evan Mazor,,,,,,,,
,,,Jeeva Kumararaja,,,,,,,,
,,,Trang Tran,,,,,,,,
,,,Kudakwashe Mundove,,,,,,,,
2355,Another shore: start from zero (“Otra orilla: empezar de cero”),Universidad ORT Uruguay,Agostina Colla,Montevideo,"-34.903280,-56.188160",Social Cohesion,,Sports & Play,Technology Innovation & Tools,Yes,"The project is a visual novel videogame titled “Another Shore: start from 0” and addresses the
relationship between migrant teens and Uruguayans at Uruguayan High Schools. The objective is to reach teenagers in a medium they are familiar with: videogames and thus fostering understanding with their migrant peers. The objective is to make an interactive experience which will
develop further discussions about their relationships. For me, peace is more than silence. It’s mutual respect, dignity, connection, and the everyday actions
that allow us to grow together without exclusion. In the short term, Another Shore gives students a
moment to walk in someone else’s shoes. In the long term, it has the potential to shape how students
build relationships.
""Creating Another Shore taught me that storytelling—especially through games—can be
a powerful tool to build empathy and start conversations about inclusion and belonging."""
2233,Arte Vivo Archive: The Voices of Comuna 13,Claremont McKenna College,Ilma Turcios,Medellín,"6.245000,-75.571510",Cultural Preservation/Expression,,Coalition & Community Building,Documentary & Reporting,No,"Our team formed around shared connections to Latin American countries, specifically Honduras
and Mexico, which guided our decision to address human rights narratives in the region. Our academic
and personal interests focus on how art can serve as a tool for holistic well-being and joy when navigating
political, social, and economic difficulties. Given our collective experience with personal testimonials and
archiving, we wanted to explore how others use art for resilience and resistance within their own
communities. We decided to find a way to focus on human rights violations within Latin America,
specifically with the goal of highlighting how community members demonstrate resilience and find joy
while navigating histories of violence and personal loss.  The Arte Vivo Archive project addressed the discrepancies found in outside portrayals of
Medellín, Colombia by centering joy and resilience in our conversations surrounding human rights.
Through a partnership with Comuna Project, an international non-governmental organization (INGO), that
connected us to the local community of Comuna 13, we conducted community-centered interviews with
local artists. We created an interactive online map showcasing around 18 artists from diverse mediums,
stories which highlighted the transformation of a historic place of conflict into a site of joy, hope, and
peacebuilding."
,,,Guadalupe Loza-Mendez,,,,,,,,
,,,Luis Mendoza,,,,,,,,
2221,"Breaking Bread, Building Belonging: Fostering Community, Food Justice, and a Vision for an Outdoor Kitchen",Barnard College,Christina Sarbanes,Baltimore,"39.290380,-76.612190",Ag & Food Security,,Coalition & Community Building,Infrastructure,No,"Breaking Bread Building Belonging sought to address food insecurity in Irvington, a low-income
neighborhood in West Baltimore City, through the establishment of a Breakfast Program and the planning
and construction of a preliminary outdoor kitchen space. The project was purposefully rooted in an ethos
of community kinship and care, aiming to create open dialogue in which all community members have an
active say and voice in the construction of the outdoor space.
The beginnings of this project stemmed from interests in the Black Panther Party’s free Breakfast
program. As a young scholar and believer in forms of mutual aid, particularly within minoritized
communities, the breakfast program implemented by the Panthers reflected my interest in the nexus of
food, racial justice, and community scholarship. Having spent significant hours in the classroom, I wished
to expand my learning and see what it might look like to implement a breakfast program in my own
community, a community greatly impacted by structural racism and food insecurity. The community I grew
up in has always been one centered on mutual aid, so I found that being able to bring resources to my
community in the form of gathering over food and providing food allowed me to feel like a reciprocal
member of my community's spaces. The local relationships that developed out of this were incredible to
me, as many of the elders and neighbors on the block told me numerous times about how successful the
programming was, how delicious the breakfast was, and how it was such a joy to see the young people
eating breakfast and socializing with one another. I found older neighbors coming and bringing extra fruits
and vegetables they thought would pair well with whatever we were cooking that day. People were happy
to contribute extra paper plates, and some already wanted to use the grill. When we were building the
shed to store the equipment, many neighbors came to help or at least to chat and keep me company. “Breaking Bread Building Belonging taught me the power of small actions to make a world of difference.  
By sharing meals and building food infrastructure together, I learned that peacebuilding begins with
community care, listening, and creating spaces where everyone’s voice matters.”"
2346,Breaking the Silence on Menstruation in Nepal,Wheaton College,Prabidhi Malla,Lalitpur,"24.690070,78.419150","Education Quality, Equity & Access",Health & Wellbeing,Equipment & Materials,Outreach & Information Campaigns,Yes,"My project, Breaking the Silence on Menstruation in Nepal, addressed menstrual stigma and lack of
access to safe, sustainable menstrual products. By working with Blink Foundation, Loom Nepal, and GET
Nepal, I implemented workshops in four schools, distributed menstrual kits, and fostered peer mentorship
programs to normalize open conversations about menstruation. While I initially envisioned broader distribution, I adjusted the project’s scale to focus on building a
model in fewer schools. This allowed for deeper engagement, stronger training, and better feedback
collection. An unexpected outcome was that the organizations I partnered with, who had not previously
included menstrual health in their programming, expressed interest in continuing this work after seeing
the impact and demand. This creates opportunities for long-term sustainability.
Reflection
To me, peace means the freedom to live with confidence, access opportunities, and make choices without
barriers. Menstrual stigma becomes a barrier to these freedoms by forcing girls to miss school, lowering
their confidence, and reinforcing inequality. By providing resources and safe spaces for dialogue, my
project aimed to open doors for greater equality and dignity."
